date,for_cnt
2004-12-31,3
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,6
2005-05-31,19
2005-06-30,0
2005-07-31,8
2005-08-31,4
2005-09-30,1
2005-10-31,11
2005-11-30,19
2005-12-31,19
2006-01-31,3
2006-02-28,31
2006-03-31,3
2006-04-30,28
2006-05-31,12
2006-06-30,20
2006-07-31,6
2006-08-31,79
2006-09-30,10
2006-10-31,14
2006-11-30,7
2006-12-31,22
2007-01-31,22
2007-02-28,36
2007-03-31,51
2007-04-30,55
2007-05-31,33
2007-06-30,26
2007-07-31,76
2007-08-31,85
2007-09-30,55
2007-10-31,60
2007-11-30,84
2007-12-31,80
2008-01-31,56
2008-02-29,82
2008-03-31,114
2008-04-30,127
2008-05-31,194
2008-06-30,124
2008-07-31,135
2008-08-31,257
2008-09-30,169
2008-10-31,158
2008-11-30,115
2008-12-31,288
2009-01-31,215
2009-02-28,109
2009-03-31,161
2009-04-30,178
2009-05-31,146
2009-06-30,166
2009-07-31,168
2009-08-31,204
2009-09-30,192
2009-10-31,247
2009-11-30,275
2009-12-31,297
2010-01-31,259
2010-02-28,222
2010-03-31,286
2010-04-30,282
2010-05-31,317
2010-06-30,465
2010-07-31,428
2010-08-31,500
2010-09-30,453
2010-10-31,497
2010-11-30,550
2010-12-31,672
2011-01-31,640
2011-02-28,552
2011-03-31,611
2011-04-30,597
2011-05-31,539
2011-06-30,682
2011-07-31,637
2011-08-31,609
2011-09-30,544
2011-10-31,647
2011-11-30,650
2011-12-31,598
2012-01-31,490
2012-02-29,464
2012-03-31,479
2012-04-30,493
2012-05-31,518
2012-06-30,451
2012-07-31,523
2012-08-31,546
2012-09-30,537
2012-10-31,564
2012-11-30,519
2012-12-31,514
2013-01-31,611
2013-02-28,448
2013-03-31,668
2013-04-30,660
2013-05-31,552
2013-06-30,476
2013-07-31,506
2013-08-31,612
2013-09-30,507
2013-10-31,583
2013-11-30,438
2013-12-31,484
2014-01-31,687
2014-02-28,654
2014-03-31,527
2014-04-30,530
2014-05-31,476
2014-06-30,470
2014-07-31,532
2014-08-31,553
2014-09-30,460
2014-10-31,451
2014-11-30,462
2014-12-31,849
2015-01-31,444
2015-02-28,399
2015-03-31,437
2015-04-30,495
2015-05-31,430
2015-06-30,462
2015-07-31,594
2015-08-31,464
2015-09-30,462
2015-10-31,614
2015-11-30,455
2015-12-31,539
2016-01-31,381
2016-02-29,442
2016-03-31,433
2016-04-30,462
2016-05-31,435
2016-06-30,513
2016-07-31,408
2016-08-31,492
2016-09-30,435
2016-10-31,461
2016-11-30,463
2016-12-31,599
2017-01-31,611
2017-02-28,380
2017-03-31,587
2017-04-30,534
2017-05-31,505
2017-06-30,463
2017-07-31,511
2017-08-31,507
2017-09-30,347
2017-10-31,435
2017-11-30,379
2017-12-31,639
2018-01-31,397
2018-02-28,319
2018-03-31,406
2018-04-30,385
2018-05-31,441
2018-06-30,329
2018-07-31,414
2018-08-31,346
2018-09-30,467
2018-10-31,388
2018-11-30,210
