name,review_count,useful,cluster
Jill,1514,1816,a
Canny,1589,1389,b
Ryan,1659,2376,c
David,1717,2745,c
D.,1524,2711,c
Darrell,1660,2949,c
Sal,1663,2449,c
Alison,1788,2340,c
Arnold,1618,1695,a
Mark,1606,1977,a
Dave,1494,2193,a
Ben H,1628,2134,a
Kim,1810,2051,a
Opal,1515,2051,a
Jocelyn,1711,1732,a
Steve,1856,2935,c
Albert,1934,2095,a
Mike,1721,1622,a
Franklin,1856,1807,a
Jeff,1530,1927,a
Kelly,1690,2242,a
Demitri,1604,2132,a
Dan,1615,2023,a
Jen,2046,2403,c
Yonnie,2335,2078,a
Jackie,1462,1791,a
Deb,1495,2589,c
GT,1904,2967,c
Brian,1868,1771,a
Jonah,1556,1267,b
Mary,1697,1257,b
Susan,1921,2626,c
J,1815,2918,c
Mary,1502,2426,c
Keven,1473,1699,a
Maile,1484,1947,a
Denise,2962,2771,c
Dominik,2017,680,b
Nick,1592,1577,a
Realtor Karl,1976,1655,a
Owen,1595,2001,a
Mel,2010,1104,b
Leang,2096,2581,c
Jeremy,1534,2637,c
Mark,1514,2108,a
Char,1608,1497,a
Jon,1681,2522,c
Ai,2028,2655,c
Esther,1600,2241,a
Amy,1501,1721,a
Margret,1530,2735,c
Jason,1510,2160,a
Justin,1738,1414,b
Andrea,1938,2068,a
Darylynn,1914,1900,a
Lili,2517,2822,c
Stefan,1738,1898,a
Tyler,1601,2034,a
Izzat,1471,715,b
Kent,2239,864,b
Inigo,2474,1700,a
Joe,1875,1437,b
Tammy,1494,2325,c
Joyce,1741,866,b
Vivian,1618,2801,c
Joseph,1537,2505,c
Adam,1640,810,b
Alf,1693,631,b
Sara,1663,1550,a
Doctor,1862,1654,a
Jboogie,2331,1502,b
Henry,1507,2870,c
Jessie,1642,1612,a
Reed,1685,2716,c
Juan,1506,1286,b
Alan,1464,1681,a
Daniel,1587,2634,c
Nicole,1618,2659,c
Ryna,1496,1246,b
Fatty,1863,1758,a
Andy,1887,1836,a
Sophia,1465,2695,c
Retired,1461,2491,c
Maximillian,2205,847,b
Jen,1462,2907,c
Jennifer,1782,2521,c
Christopher,1544,1930,a
Kristy,1514,2916,c
William,1561,2448,c
Roger,1776,1100,b
Linda,1651,1187,b
Joshua,1481,1670,a
Chris,1648,2323,c
Dee,1576,2951,c
Gab,1475,1691,a
J,1610,633,b
Brian,1745,2603,c
Asuka,1566,2118,a
Ted,1687,2548,c
Athena,1588,2865,c
Christopher Steven,1696,1917,a
Conor,1554,1468,a
Sarah,1552,2399,c
Jim,1504,2825,c
Naomi,1878,2708,c
Stephanie,1489,2973,c
Shaji,1521,2029,a
Richard,1458,1992,a
Matt,1690,2255,a
Ma-e,1474,1068,b
J,1482,1219,b
Richard,1735,1660,a
Donna,1504,1556,a
Sean,1660,2949,c
Jessica,1518,1810,a
Tom,1474,1805,a
